#---------------------------------------------------------------------------------------------------
# Configuration for the productions with this configuration
#
# XX-MITCFG-XX     = filefi
# XX-MITVERSION-XX = 021
#
# crontab          = 1
#---------------------------------------------------------------------------------------------------
# Production Parameters
# Ex:
# CDF_Dataset_name \
#  MIT_Dataset_name  nEvtsPreJob  ProductionStatus  StorageLocation  LocalLocation [ DbsInstance ]
#---------------------------------------------------------------------------------------------------

# 2011 A - prompt v4
/DoubleElectron/Run2011A-PromptReco-v4/AOD      r11a-del-pr-v4   1 new - 
/DoubleMu/Run2011A-PromptReco-v4/AOD		r11a-dmu-pr-v4   1 new - 
/MuEG/Run2011A-PromptReco-v4/AOD		r11a-mueg-pr-v4  1 new - 
/SingleElectron/Run2011A-PromptReco-v4/AOD	r11a-sel-pr-v4   1 new - 
/SingleMu/Run2011A-PromptReco-v4/AOD		r11a-smu-pr-v4   1 new - 
/Photon/Run2011A-PromptReco-v4/AOD		r11a-pho-pr-v4   1 new - 
/Tau/Run2011A-PromptReco-v4/AOD			r11a-t-pr-v4     1 new - 
/TauPlusX/Run2011A-PromptReco-v4/AOD		r11a-tpx-pr-v4   1 new - 
/MuOnia/Run2011A-PromptReco-v4/AOD		r11a-muo-pr-v4   1 new - 
#/MuHad/Run2011A-PromptReco-v4/AOD		 r11a-muh-pr-v4   1 new -
#/ElectronHad/Run2011A-PromptReco-v4/AOD	 r11a-elh-pr-v4   1 new -
/PhotonHad/Run2011A-PromptReco-v4/AOD		r11a-phoh-pr-v4  1 new - 
#/MultiJet/Run2011A-PromptReco-v4/AOD		 r11a-mbt-pr-v4   1 new -
#/MET/Run2011A-PromptReco-v4/AOD											 
#/BTag/Run2011A-PromptReco-v4/AOD		 r11a-mjet-pr-v4  1 new -
#/Jet/Run2011A-PromptReco-v4/AOD		 r11a-jet-pr-v4   1 new -
#/Interfill/Run2011A-PromptReco-v4/AOD		 r11a-if-pr-v4    1 new -
#/HT/Run2011A-PromptReco-v4/AOD			 r11a-ht-pr-v4    1 new -
#/ForwardTriggers/Run2011A-PromptReco-v4/AOD	 r11a-ft-pr-v4    1 new -
#/MinimumBias/Run2011A-PromptReco-v4/AOD	 r11a-co-pr-v4    1 new -

# 2011 A - May 10
/DoubleMu/Run2011A-May10ReReco-v1/AOD           r11a-dmu-m10-v1  1 new -
/DoubleElectron/Run2011A-May10ReReco-v1/AOD     r11a-del-m10-v1  1 new -
/MuEG/Run2011A-May10ReReco-v1/AOD               r11a-mueg-m10-v1 1 new -
/SingleMu/Run2011A-May10ReReco-v1/AOD           r11a-smu-m10-v1  1 new -
/SingleElectron/Run2011A-May10ReReco-v1/AOD     r11a-sel-m10-v1  1 new -
